Song Name,Artist,Valence,Energy,Tempo,Danceability,Mood
Song A,Artist X,0.85,0.91,122,0.89,Happy
Song B,Artist Y,0.30,0.35,95,0.40,Sad
Song C,Artist Z,0.55,0.45,105,0.60,Calm
Song D,Artist X,0.72,0.80,130,0.77,Energetic
Song E,Artist W,0.88,0.85,118,0.82,Happy
Song F,Artist Y,0.25,0.32,90,0.38,Sad
Song G,Artist Z,0.50,0.42,100,0.55,Calm
Song H,Artist X,0.78,0.83,128,0.80,Energetic
Song I,Artist V,0.90,0.88,120,0.87,Happy
Song J,Artist Y,0.28,0.30,92,0.35,Sad
Song K,Artist Z,0.53,0.47,103,0.58,Calm
Song L,Artist W,0.75,0.79,132,0.75,Energetic
Song M,Artist X,0.87,0.90,124,0.85,Happy
Song N,Artist Y,0.33,0.37,97,0.42,Sad
Song O,Artist Z,0.57,0.44,107,0.62,Calm
Song P,Artist V,0.70,0.81,126,0.78,Energetic
Song Q,Artist X,0.84,0.86,119,0.83,Happy
Song R,Artist Y,0.29,0.34,94,0.39,Sad
Song S,Artist Z,0.54,0.46,104,0.59,Calm
Song T,Artist W,0.73,0.82,129,0.76,Energetic
Song U,Artist X,0.89,0.87,121,0.88,Happy
Song V,Artist Y,0.31,0.36,96,0.41,Sad
Song W,Artist Z,0.56,0.43,106,0.61,Calm
Song X,Artist V,0.71,0.80,131,0.79,Energetic
Song Y,Artist X,0.86,0.89,123,0.86,Happy
Song Z,Artist Y,0.27,0.33,93,0.37,Sad
Song AA,Artist Z,0.52,0.48,102,0.57,Calm
Song BB,Artist W,0.76,0.84,127,0.81,Energetic
Song CC,Artist X,0.83,0.85,117,0.84,Happy
Song DD,Artist Y,0.32,0.38,98,0.43,Sad
Song EE,Artist Z,0.58,0.41,108,0.63,Calm
Song FF,Artist V,0.74,0.78,125,0.74,Energetic
Song GG,Artist X,0.91,0.92,120,0.90,Happy
Song HH,Artist Y,0.26,0.31,91,0.36,Sad
Song II,Artist Z,0.51,0.49,101,0.56,Calm
Song JJ,Artist W,0.77,0.83,130,0.80,Energetic
Song KK,Artist X,0.88,0.86,122,0.87,Happy
Song LL,Artist Y,0.34,0.39,99,0.44,Sad
Song MM,Artist Z,0.59,0.40,109,0.64,Calm
Song NN,Artist V,0.72,0.79,124,0.75,Energetic
Song OO,Artist X,0.85,0.88,118,0.83,Happy
Song PP,Artist Y,0.30,0.35,95,0.40,Sad
Song QQ,Artist Z,0.55,0.45,105,0.60,Calm
Song RR,Artist W,0.70,0.81,128,0.77,Energetic
Song SS,Artist X,0.87,0.90,119,0.85,Happy
Song TT,Artist Y,0.28,0.32,92,0.38,Sad
Song UU,Artist Z,0.53,0.47,103,0.58,Calm
Song VV,Artist V,0.75,0.82,126,0.78,Energetic
Song WW,Artist X,0.89,0.87,121,0.88,Happy
Song XX,Artist Y,0.31,0.36,96,0.41,Sad